GrLivArea,BedroomAbvGr,FullBath,YearBuilt,TotalBsmtSF,SalePrice
1656,3,1,1960,1080.0,215000
896,2,1,1961,882.0,105000
1329,3,1,1958,1329.0,172000
2110,3,2,1968,2110.0,244000
1629,3,2,1997,928.0,189900
1604,3,2,1998,926.0,195500
1338,2,2,2001,1338.0,213500
1280,2,2,1992,1280.0,191500
1616,2,2,1995,1595.0,236500
1804,3,2,1999,994.0,189000
1655,3,2,1993,763.0,175900
1187,3,2,1992,1168.0,185000
1465,3,2,1998,789.0,180400
1341,2,1,1990,1300.0,171500
1502,1,1,1985,1488.0,212000
3279,4,3,2003,1650.0,538000
1752,4,2,1988,559.0,164000
1856,1,1,2010,1856.0,394432
864,2,1,1951,864.0,141000
2073,3,2,1978,1542.0,210000
1844,3,2,1977,1844.0,190000
1173,3,2,1974,1053.0,170000
1674,3,2,2000,814.0,216000
1004,2,1,1970,1004.0,149000
1078,3,1,1971,1078.0,149900
1056,3,1,1968,1056.0,142000
882,2,1,1970,882.0,126000
864,3,1,1971,864.0,115000
1337,2,2,1999,1405.0,184000
987,2,1,1971,483.0,96000
1092,3,1,1971,525.0,105500
1092,3,1,1971,525.0,88000
1069,2,2,1977,1069.0,127500
1456,3,2,1975,855.0,149900
836,2,1,1975,836.0,120000
1456,3,2,1978,855.0,146000
2334,3,2,2009,1590.0,376162
1704,3,2,2007,1704.0,306000
1940,3,2,2009,1930.0,395192
1544,3,2,2009,1544.0,290941
1541,3,2,2005,1541.0,220000
1698,3,2,2005,1698.0,275000
1822,3,2,2005,1822.0,259000
1535,3,2,2004,1517.0,214000
2364,2,2,2009,2330.0,611657
1358,2,2,2009,1358.0,224000
2696,3,2,2003,2846.0,500000
2250,3,2,2002,1671.0,320000
1752,2,2,2005,1752.0,319900
1370,2,2,2006,1370.0,205000
1626,2,2,2003,764.0,175500
1324,3,2,2005,1324.0,199500
1145,2,2,2006,1145.0,160000
1269,2,2,2004,1256.0,192000
1374,3,2,2004,384.0,184500
1960,4,2,2002,860.0,216500
1733,3,2,2004,847.0,185088
1430,3,2,2000,384.0,180000
